252148-17										3	针织	黑色,白色,卡其	L,XL,XXL,XXXL,4XL
JQ1170										11	梭织	颜色1,颜色2	6,8,10,12,14,16,18
JQ1216L										10	梭织	米黄色	6,8,10,12,14,16,18
JQ1342											梭织	蓝色	18
JQ1422							花边3.5米			6	梭织	砖红色	4,6,8,10,12,14,16,18
JQ1422L							140*130			17	梭织	米白	6,8,10,12,14,16,18
JQ1428										11	针织	棕色	XS,S,M,L
JQ1429										8	针织	蓝色	XS,S,M,L
JQ1464									120*45	12	梭织	颜色1	6,8,10,12,14,16
JQ1512							150*35			4	针织	粉色	XS,S,M,L,XL
JQ1514									120*15	13	梭织	颜色1	4,6,8,10,12,14,16,18
JQ1516							150*57			14	针织	颜色1	XS,S,M,L,XL
JQ1519											梭织	颜色1	6,8,10,12,14,16,18
JQ1526							140*68		120*25	19	梭织	颜色1	4,6,8,10,12,14,16,18
JQ1530							140*100		120*40	37	梭织	杏色,黑色	XS,S,M,L,XL
JQ1531										15	梭织	杏色,黑色	XS,S,M,L,XL
JQ1534S											梭织	颜色1	4,6,8,10,12,14,16,18
JQ1552							140*145	花边180		20	梭织	杏色	6,8,10,12,14,16,18
JQ1552D							140*145	花边180		20	梭织	杏色	4,6,8,10,12,14,16,18
JQ1554									120*30	32	梭织	颜色1	S,M,L,XL,XXL
JQ1554L									120*30	32	梭织	颜色1	S,M,L,XL,XXL
JQ1561									120*20	16	梭织	白色,颜色1	4,6,8,10,12,14,16,18
JQ1568											针织	杏色	S,M,L,XL,XXL
JQ1569							145*14			11	梭织	蓝色印花,棕底印花	12~18M,18~24M,2~3Y,6~12M,4~5T
JQ1571										1	梭织	颜色1	通码
JQ1572										16	梭织	颜色1	S,M,L,XL,XXL
JQ1573							140*45			14	梭织	颜色1	S,M,L,XL,XXL
JQ1585									120*18	14	梭织	颜色1	S,M,L,XL,XXL
JQ1587Q									120*10	8	梭织	颜色1	S,M,L,XL,XXL
JQ1587S							140*22			4	梭织	颜色1	S,M,L,XL,XXL
JQ1588									120*10	25	梭织	颜色1	S,M,L,XL,XXL
JQ1589Q							140*31		120*20	16	梭织	颜色1	S,M,L,XL,XXL
JQ1589S							140*28			8	梭织	颜色1	S,M,L,XL,XXL
JQ1591							140*215		120*20	32	梭织	颜色1	S,M,L,XL,XXL
JQ1592							140*122		120*100	55	梭织	颜色1	S,M,L,XL,XXL
JQ1593										8	梭织	颜色1	S,M,L,XL,XXL
JQ1594							140*105		120*85	22	梭织	颜色1	S,M,L,XL,XXL
JQ1597										8	梭织	颜色1	S,M,L,XL,XXL
JQ1603											针织	黑色	1,2,3,4
JQ1604											针织	白色	1,2,3,4
JQ1606							175*7cm	罗纹170*3cm		8	针织	颜色1	S,M,L,XL,XXL
JQ1607										14	梭织	米黄色	S,M,L,XL,XXL
JQ1608							140*119		120*25	18	梭织	黑色	XS,S,M,L,XL,XXL
JQ1609							148*15cm	朴145*50cm		19	梭织	黄色,米白	S,M,L,XL,XXL
JQ1610										16	梭织	黑色	S,M,L,XL,XXL
JQ1611									120*30	20	梭织	橙色,蓝色	S,M,L,XL,XXL
JQ1612							罗纹178*8cm			4	针织	浅绿,浅蓝,宝蓝色,橙色,白色,深绿色,红色,芥末黄	S,M,L,XL,XXL
JQ1613							袋里布145*20cm	朴145*18cm	硬朴140*12cm	27	梭织	黑色,牛仔蓝,白色,红色	36,38,40,42,44
JQ1614										1	梭织	杏色	通码
JQ1615										13	针织	杏色	S,M,L,XL,XXL
JQ1616							170*22	146*0.08		8	针织	颜色1	3/4Y
JQ1617							170*22	146*0.08		8	针织	颜色1	2/3Y
JQ1618											针织	酒红	S,M,L,XL,XXL
JQ1619							罗纹120*26	贴布绣110*5CM		13	针织	灰色	S,M,L,XL,XXL
JQ1620							罗纹120*8			11	针织	灰色	S,M,L,XL,XXL
JQ1622							140*88			17	梭织	颜色1	6,8,10,12,14,16,18
JQ1623							里布145*131			18	梭织	浅卡其	XS,S,M,L,XL,XXL
JQ1624											针织	杏色	S,M,L,XL,XXL
JQ1625										10	针织	白色	XS,S,M,L
JQ1626										12	针织	棕色	XS,S,M,L
JQ1627											梭织	樱桃红	4,6,8,10,12,14,16,18
JQ1628											针织	酒红	1,2,3,4
JQ1629									120*0.1	9		棕色	6,8,10,12,14,16,18
JQ1630							罗纹190*3			6	针织	白色	S,M,L
JQ1631											针织	黑色	S,M,L
JQ1632											针织	灰色	XS,S,M,L,XL
JQ1633											针织	灰色	XS,S,M,L,XL
JQ1634											针织	酒红	1,2,3,4
JQ1635											针织	酒红	1,2,3,4
JQ1636											梭织	颜色1	XS,S,M,L,XL,XXL,XXXL
JQ1637											梭织	杏色	6,8,10,12,14,16,18
JQ1639											针织	米白	34,36,38,40,42,44
JQ1640											针织	米白	34,36,38,40,42,44
JQ1644											针织	米白	34,36,38,40,42,44
JQ1645											梭织	颜色1	6,8,10,12,14,16,18
JQ296						150*6	120*6				梭织	颜色1,颜色2,颜色3	通码
JQ437D						140*162			朴120*31	12	梭织	颜色1	6,8,10,12,14,16,18
JQ437S						140*162			朴120*31	12	梭织	颜色1	6,8,10,12,14,16,18
JQ741							146*11.5	146*23	朴120*0.1	28	梭织	颜色1	XS,S,M,L,XL,XXL
JQ742									朴120*10	18	梭织	棕色	6,8,10,12,14,16
JQ905									120*30	15	针织	红色	6,8,10,12,14,16,18
JQ906									120*30	15	针织	颜色1,颜色2	6,8,10,12,14,16,18
JQ913										2	梭织	颜色1	通码
JQ928D									120*40	18	梭织	颜色1,颜色2	6,8,10,12,14,16,18
JQ928Q									120*40	18	梭织	蓝色	6,8,10,12,14,16,18
JQ928S									120*40	18	梭织	颜色1	4,6,8,10,12,14,16,18
JU026											针织	红色	XL
JU062							145*200		120*85	39		浅灰	S
JU063										8		粉色	M
JU064											针织	米白	XS
JU065											梭织	米白	XS
JU066											梭织	米白	XS
JU067											针织	黑色	L
JU068											针织	棕色	34
KK045							145*23	145*22	120*40	26	针织	米白	S,M,L
KK058K										7	针织	黑色,白色	XS,S,M,L
KK252K										14	梭织	杏色	S,M,L,XL,2XL,3XL
KK252S										7	梭织	杏色	S,M,L,XL,2XL,3XL
KK276										16	梭织	杏色	1
KK286											梭织	黑色	M
KK288										27	梭织	黑色	XS,S,M,L
KK295											梭织	黑色	M
KK296												黑色,浅灰,灰绿	S,M,L,XL,XXL
KK297													
KK298													
KK299													
KK301													
KK302							罗纹132*6			11	针织	藏蓝	XXL
KK303											梭织	粉色	S
KK304											梭织	白色印花	S
KK305											梭织	蓝	S
KK306											针织	黑色	M
KK307											梭织	白色	S
KK308											梭织	白色	M
KR016											梭织	灰色	XS
KR101							160*0.08			8	针织	海军蓝	S
KR110											针织	黑色	M,L,XL
KR111											针织	白色	S,M,L,XL,XXL
KR112											针织	黑色	S,M,L,XL,XXL
KR113											针织	黑色	S,M,L,XL,XXL
KR114											针织	黑色	M
KR115											针织	黑色	M
KR116							花边85CM每件			15	针织	牛仔蓝	9/10
KR117										4	梭织	白色印花	9/10
KR118-S										4		白色印花	9/10
KR119-C										3	针织	白色印花	9/10
KR119-K										2	针织	白色印花	9/10
KR119-S										5	针织	白色印花	9/10
KR120							里布156*110			26	梭织	蓝	M
KR121										13	针织	黑色	M
KR122											针织	黑色	M
KR123							135*28			10	针织	浅灰	L
KR125												白色印花	S
KR126										11		碳灰色	L
KR127										12	针织	粉色,白色	XS,S,M,L,XL
KR128							罗纹120*3			11			
KR129-K													
KR129-S													
KR130													
KR131-K													
KR131-S													
KR132													
KR133													
KR134													
LC419K							里布145x65cm	朴140x25cm		33	梭织	黑色	6,8,10,12,14
LO012_new_1761630078											针织	绿色	L
LO028												花灰	S,M,L,XL
LO036童装										11	针织	黑色,米黄色	
LO037童装定制							180*0.015			6	针织	象牙白	4T
LO038							朴136*13cm			16	针织	银色	4T
LO039										7	针织	米白	4T
LO047													
LO048													
LO049										20	梭织		
LO049的配套裤子										16	针织		
LO058												黑色	S,M,L,2XL,3XL,XL
LO059												黑色	S,M,L,XL,2XL,3XL
LO062											梭织	紫色	M
LO063											梭织	花灰	2XL
LO064													
LO065											梭织	藏青色	L
LO077												黑色	L
MA011											针织	藏青色,白色	XS,S,M,L,XL
ma036											针织	灰蓝	L
ma037											针织	藏蓝	L
ma038											针织	咖啡色	M
ma039 m1											针织	大白	S
ma039 m2											针织	白色	S
ma040												棕色	M
ma041													
ma042													
ma043													
MG2501050							160*85			6	针织	MULTI  花色	XS,S,M,L,XL,XXL
MG2601675							142*20		朴120*20	45	梭织	MULTI  花色	XS,S,M,L,XL,XXL
MG2603670											针织	黄色	XS,S,M,L,XL,XXL
MG2604300							下半身145*48	上身里布180*19		6	梭织	蓝色	XS,S,M,L,XL,XXL
MG2604350							里布180*76			5	梭织	蓝色	XS,S,M,L,XL,XXL
MG2604351							下身142*169CM	里布上身180*22		6	梭织	蓝色	XS,S,M,L,XL,XXL
MG2604401									120*35	29	梭织	绿色	XS,S,M,L,XL,XXL
MG2604463									120*40	32	梭织	绿色	XS,S,M,L,XL,XXL
MG2604615										7	梭织	白色	XS,S,M,L,XL,XXL
MG2604631							里布145*95			5	梭织	白色	XS,S,M,L,XL,XXL
MG2604663							里布145*167			16	梭织	白色	XS,S,M,L,XL,XXL
MG2604664							140*260		12**15	12	梭织	白色	XS,S,M,L,XL,XXL
OW034							罗纹170*3cm			6	针织	黑色	S
PDD002											针织	黑色	S,M,L,XL
PDD055							145*74				梭织	蓝色,咖啡色	S,M,L,XL,XXL
PDD071K										16	梭织	绿色	S,M,L,XL,XXL
PDD071S							里布145*115			32	梭织	绿色	S,M,L,XL
PDD099K										9	梭织	黑色	S,M,L,XL,XXL
PDD106Q							里布145*42			7	梭织	棕底豹纹	S,M,L,XL
PDD106S								里布145*116		41	梭织	棕底豹纹	S,M,L,XL
PDD117							橡筋170CM每件			24	梭织	灰色	S,M,L,XL,XXL
PDD139							里布145*82			24	梭织	卡其	S,M,L,XL,XXL
PDD144										6	梭织	黑色	S,M,L,XL,XXL
PDD147										9	梭织	白色	S,M,L,XL,XXL
PDD148							捆条里布A175*3	里布B175*92		14	针织	黑色	S,M,L,XL,XXL
PDD150										12	针织	牛仔蓝	S,M,L,XL
PDDA169										17	梭织	红色	XS,S,M,L,XL
PDDA175										6	针织	杏色	XS,S,M,L,XL
PDDA180										7	梭织	蓝色	S,M,L,XL
PDDA182							里布145*64			8	梭织	白色	S,M,L,XL,XXL
PDDA184										12	梭织	浅灰	S,M,L,XL,XXL
PDDA189							里布174*50			8	针织	黑色	S,M,L,XL,XXL
PDDA190										3	针织	黑色	S,M,L,XL,XXL
PDDA194							雪纺145*84			4	针织	咖啡色	S,M,L,XL,XXL
PDDA196								里布145*87		13	梭织	白色	S,M,L,XL,XXL
PDDA201										4	梭织	咖啡色	S,M,L,XL,XXL
PDDA202										8	梭织	咖啡色	S,M,L,XL,XXL
PDDA205										8	针织	深玫瑰棕	S,M,L,XL,XXL
PDDA213							里布145*182			7	梭织	杏色	S,M,L,XL,XXL
PDDA215							170*83			11	针织	黑色底印花	S,M,L,XL,XXL
PDDA220										8	梭织	杏色	S,M,L,XL,XXL
PDDA222							里布145*66			19	梭织	白色	S,M,L,XL,XXL
PDDA223										9	梭织	浅绿色	S,M,L,XL,XXL
PDDA224							145*61			10	针织	白色	S,M,L,XL,XXL
PDDA226										5	针织	白色	S,M,L,XL,XXL
PDDA227							撞布145*20			13	梭织	白底黑条	S,M,L,XL,XXL
PDDA234							里布145*61			23	梭织	MULTI  花色	S,M,L,XL,XXL
PDDA235										8	梭织	蓝白条	S,M,L,XL,XXL
PDDA237							花边长70CM			12	梭织	白色	S,M,L,XL,XXL
PDDA238										10	梭织	绿色	S,M,L,XL,XXL
PDDA241							里布145*97			12	梭织	蓝色	S,M,L,XL,XXL
PDDA246							撞布144*12			11	梭织	白底蓝	S,M,L,XL,XXL
PDDG001										5		白色	S,M,L,XL,XXL
PDDG002										5		浅黄	S,M,L,XL
PDDW151										10	针织	黑色	S,M,L,XL,XXL
PDDW158										13	针织	白色	S,M,L,XL,XXL
PDDW161										14	针织	咖啡色	S,M,L,XL,XXL
PDDW181										12	针织	黑色	S,M,L,XL,XXL
PDDW198										3	针织	咖啡色	S,M,L,XL,XXL
PDDW208										16	针织	杏底红格	S,M,L,XL,XXL
PDDW210							里布145*17			20	梭织	蓝色	XS,S,M,L,XL
PDDW211							里布143*103			26	梭织	蓝色	S,M,L,XL,XXL
PDDW232										11	梭织	米白	S,M,L,XL,XXL
PDDW233							蕾丝142*12			10	针织	黑色	S,M,L,XL,XXL
PDDW240							里布160*82			4	梭织	粉色	S,M,L,XL,XXL
PDDW241							里布145*97			12	梭织	蓝色	S,M,L,XL,XXL
PDDW242							145*117			12	梭织	蓝白条	S,M,L,XL,XXL
PDDW247										6	梭织	米白	S,M,L,XL,XXL
PDDW248										12	梭织	杏色	S,M,L,XL,XXL
PDDW249K										14	梭织	黑色	S,M,L,XL,XXL
PDDW249S							里布145*61			19	梭织	黑色	S,M,L,XL,XXL
PDDW250							白色撞布144*76			19	梭织	红色	S,M,L,XL,XXL
PDDW251										10	梭织	灰色	S,M,L,XL,XXL
PDDW252										16	梭织	黄色	S,M,L,XL,XXL
PDDW253										9	梭织	棕底豹纹	S,M,L,XL,XXL
PDDW254										12	梭织	棕底豹纹	S,M,L,XL,XXL
PDDW255										11	梭织	蓝色	S,M,L,XL,XXL
PDDW256							下节150*175CM	里布160*136		8	梭织	白色	S,M,L,XL,XXL
PDDW257										8	梭织	白色	S,M,L,XL,XXL
PDDW258							里布173*122			13	梭织	白色	S,M,L,XL,XXL
PDDW259							蕾丝20*230CM长				梭织	黑色	S,M,L,XL,XXL
PDDW260										14	梭织	白色	S,M,L,XL,XXL
PDDW261							前领花边100CM每件	下脚花边170CM每件		9	梭织	白色	S,M,L,XL,XXL
PDDW262							里布170*78			12	梭织	白色	S,M,L,XL,XXL
PDDW263							下节148*55	里布160*18		8	梭织	白色	S,M,L,XL,XXL
PDDW264										8	梭织	白色	S,M,L,XL,XXL
PDDW265							里布145*83			17	梭织	黄色	S,M,L,XL,XXL
PDDW266										6	梭织	白色	S,M,L,XL,XXL
PDDW267K										5	梭织	黄色	S,M,L,XL,XXL
PDDW267S										10	梭织	黄色	S,M,L,XL,XXL
PDDW268							花边145*9CM			18		白色	S,M,L,XL,XXL
PDDW269							蝴蝶结3个买的			11		白色	S,M,L,XL,XXL
PDDW270										17		白色	S,M,L,XL,XXL
PDDW271							里布145*122			14		白色	S,M,L,XL,XXL
PDDW272											梭织	粉色	S,M,L,XL,XXL
PDDW274							蕾丝145*33			4	梭织	黑色	S,M,L,XL,XXL
PDDW275										8	梭织	白色	S,M,L,XL,XXL
PDDW276										11	梭织	黑色	S,M,L,XL,XXL
PDDW277							里布145*43			11	梭织	白色	S,M,L,XL,XXL
PDDW278							撞布150*25	里布160*69		10	梭织	红色	S,M,L,XL,XXL
PDDW279Q							里布145*72			6	梭织	白色	S,M,L,XL,XXL
PDDW279S							里布145*28			8	梭织	白色	S,M,L,XL,XXL
PDDW280										13	梭织	蓝色条条印花	S,M,L,XL,XXL
PDDW281							花边52CM			13	梭织	白色	S,M,L,XL,XXL
PDDW282							里布145*72			18	梭织	白色	S,M,L,XL,XXL
PDDW283							花边150	里布捆条10CM		14	梭织	白色	S,M,L,XL,XXL
PDDW284							里布145*120			23	梭织	白色	S,M,L,XL,XXL
PE002							180*42帽	180*24	125*25	12	针织	黑色	S,M,L,XL
PE021K							160*104			20	针织	黑色	1,2,3,4
PE021S							160*90		120*30	32	针织	黑色	1,2,3,4
PE063-1							160*0.025			5	针织	白色	L
PE063-2							160*0.025			5	针织	白色	L
PE066大货-2											针织	藏青色	S,M,L,XL,XXL
PE070-2							罗纹180*3			5	针织	黑色	XL
PE072-2								罗纹185*15		10	针织	黑色	XL
PE073											梭织	黑色	S,M,L
PE074											梭织	白色	S,M,L
PJ001D						112*283					梭织	彩花色,随机色	S,M,L,XL,XXL,3XL,4XL,5XL
QF269									120*0.1	18	针织	黑色	M
QF270											针织	黑色	M
QF271											针织	黑色	M,2XL
QF274											针织	深卡其	S,M,L,XL,XXL
QF330										5	针织	黑色,军绿色	M,L,XL,XXL
QF331K										15	针织	绿色	XL
QF331S							网里136*143cm	朴143*45cm		39	针织	绿色	XL
QF332							里布145*27			20	针织	黑色	M,L,XL,2XL,3XL,4XL
QF333												黑色	L,XL,XXL,XXXL
QF334											针织	绿色,花灰,深灰,灰蓝,藏蓝	S,M
QF335											针织	绿色	S,M
QF336											针织	深灰	S,M,L,XL,XXL
QF337											针织	黑色	XL
QSY-001											针织	咖啡色	M,L,XL,XXL,S
RB012							170*0.08	170*0.025		8		白	M
RB013							180*138			12		粉色	M
RB014												白色	XS
RB015												白色	S
RB016							肩面料B178*18	面料C178*20	里布145*121	35			
RB017													
RB018							里布175*72			23	梭织		
RB019											梭织	浅蓝色	L
RB020											针织	黑色	L
RB021											针织	黑色	L
RU080-K										15	梭织	红色	XS,S,M,L,XL
RU080-S									120*35	11	梭织	红色	XS,S,M,L,XL
RU082							182*0.02			5	针织	黑色	M,L,XL
RU083							170*0.03			7	针织	黑色	M,L,XL
RU084							115*25			10	针织	黑色	M,L
RU128-2							罗纹120*25			10	针织	黑色	S
RU166							罗纹180*3			6	针织	黑色	M
RU167							罗纹180*3			6	针织	灰色	M
RU168							罗纹120*8cm			13	针织	白色	M
RU169							黑色布180*52cm	灰罗纹155*32cm		18	针织	灰色	M
RU170							里布145*123			44	针织	蓝色	M
RU171											针织	黑色	L
RU172											针织	白色	M
RU173											针织	绿色	M
RU174							里布174*96	罗纹158*21		17	针织	黑色	M
RU175-2											针织	棕色,粉色,灰色,藏青色	S,M,L,XL,XXL
RU176-2											针织	黑色,咖啡色,深灰,白色	S,M,L,XL,XXL
RU177											针织	黑色	S
RU178											针织	天蓝色	L
RU179											针织	棕色	L,XL
RU180											针织	杏色	M
RU181											针织	黑色	S,M
RU182											针织	黑色	M
RU183											针织	黑色	M
RU184											针织	黑色	M
RU185											针织	灰色	L
RU186							罗纹120*31			13	针织	灰色	L
RU187											针织	白	L
RU188											针织	灰色	L
T045											针织	深灰	M,L,XL,XXL
TA027											针织	粉色,孔雀蓝,米杏色,燕麦灰	S,M,L,XL,XXL
TA134											针织	橙色	5,0.,4
TA135							165*130			15	针织	棕色	34,36,38,40,42
TA139											针织	粉色,米白,浅蓝,灰绿,米黄色	S,M,L,XL
TA145							150*90			15	针织	棕色	34,36,38,40,42
TA152							160*0.07			4	梭织	橙色花	90
TA153										8	针织	砖红色	2
TA159							里布143*108			20	梭织	棕色	XS,S,M,L
TA160										16	梭织	棕色	XS,S,M,L
TA161							140*96			18	梭织	棕色	M
TA162											针织	藏青色,黑色,墨绿,酒红色	L,XL,XXL,XXXL,4XL
TA165							罗纹180*3cm			6	针织	黑色	M,L
TA168Q										8	针织	米白,浅粉色	170,160
TA168S										6	针织	绿色条条印花,粉白条	170,160
TA169							140*114		120*25	8	针织	米白	170
TA170											针织	水洗中灰,黑色	S,M
TA171												白色	M
TA172												深灰	L
TA173													
TA174													
TA175											针织	深蓝	
TA176											针织	杏色,黑色,粉色,藏青色,白色,红色,深棕,浅天蓝	S,M,L,XL,XXL,XXXL
TA177K													
TA177S													
TA178K													
TA178S													
TA179													
TA180											针织	酒红色	S
TA181											针织	米白	160
TQ239-2						143*67	146*66			19	针织	粉色,蓝色	26,28,30,32,34,36,38
TW-10404										12	针织	黑色,白色	XS,S,M,L,XL,XXL
TWS-10249											梭织	藏青色,白色	XXS,XS,S,M,L,XL
TWS-10310											梭织	浅黄,黑色,蓝色,米白	XXS,XS,S,M,L,XL
TWS-10315											梭织	藏青色,米黄色,白色	XXS,XS,S,M,L,XL
TWS-10327								里布捆条145*5		14	针织	黑色,棕色	XXS,XS,S,M,L,XL
TWS-10369											梭织	黑色	XXS,XS,S,M,L,XL
TWS-10370											梭织	米白	XXS,XS,S,M,L,XL
TWS-10371											梭织	浅蓝色,米黄色,蓝色	XXS,XS,S,M,L,XL
TWS-10375											梭织	黄色	XXS,XS,S,M,L,XL
TWS-10376											梭织	黑色	XXS,XS,S,M,L,XL
